OBJECTID,EVENT_UNIQUE_ID,OCC_DATE,OCC_YEAR,OCC_MONTH,OCC_DOW,OCC_DAY,OCC_DOY,OCC_HOUR,REPORT_DATE,REPORT_YEAR,REPORT_MONTH,REPORT_DOW,REPORT_DAY,REPORT_DOY,REPORT_HOUR,DIVISION,LOCATION_TYPE,PREMISES_TYPE,BIKE_MAKE,BIKE_MODEL,BIKE_TYPE,BIKE_SPEED,BIKE_COLOUR,BIKE_COST,STATUS,PRIMARY_OFFENCE,HOOD_158,NEIGHBOURHOOD_158,HOOD_140,NEIGHBOURHOOD_140,LONG_WGS84,LAT_WGS84,x,y
20209,GO-20199025603,8/8/2019 4:00:00 AM,2019,August,Thursday,8,220,14,8/10/2019 4:00:00 AM,2019,August,Saturday,10,222,0,D52,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,OT,XC29,MT,18,GRY,399,STOLEN,THEFT UNDER,165,Harbourfront-CityPlace (165),077,Waterfront Communities-The Island (77),-79.3937600356872,43.6427721818759,-8838072.93937087,5410325.75784361
20210,GO-20199025708,8/10/2019 4:00:00 AM,2019,August,Saturday,10,222,13,8/10/2019 4:00:00 AM,2019,August,Saturday,10,222,20,D51,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,OT,CTM,MT,21,GRY,399.989990234375,STOLEN,THEFT UNDER,168,Downtown Yonge East (168),075,Church-Yonge Corridor (75),-79.3820870470184,43.6605697996736,-8836773.50817935,5413063.95528523
20211,GO-20199025635,8/9/2019 4:00:00 AM,2019,August,Friday,9,221,8,8/10/2019 4:00:00 AM,2019,August,Saturday,10,222,13,D55,Go Station,Transit,SC,WOMEN RANGER 26,MT,21,WHI,200,STOLEN,THEFT UNDER,062,East End-Danforth (62),062,East End-Danforth (62),-79.3011073510694,43.6857647274266,-8827758.88965604,5416941.63104783
20212,GO-20199025644,7/31/2019 4:00:00 AM,2019,July,Wednesday,31,212,13,8/10/2019 4:00:00 AM,2019,August,Saturday,10,222,13,D53,"Apartment (Rooming House, Condo)",Apartment,OT,TRAIL X2,MT,24,BLK,359.989990234375,STOLEN,THEFT UNDER - BICYCLE,098,Rosedale-Moore Park (98),098,Rosedale-Moore Park (98),-79.387842949732,43.6728683130903,-8837414.25237037,5414956.57921258
20213,GO-20199025662,8/10/2019 4:00:00 AM,2019,August,Saturday,10,222,14,8/10/2019 4:00:00 AM,2019,August,Saturday,10,222,15,D52,Convenience Stores,Commercial,BI,1999 PISTA,RG,1,LBL,0,STOLEN,THEFT UNDER,170,Yonge-Bay Corridor (170),076,Bay Street Corridor (76),-79.3827995420209,43.6460736851773,-8836852.82275995,5410833.63907614
20214,GO-20191514204,8/10/2019 4:00:00 AM,2019,August,Saturday,10,222,15,8/10/2019 4:00:00 AM,2019,August,Saturday,10,222,16,D55,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,OTHER,,RG,18,DGR,350,STOLEN,THEFT UNDER,069,Blake-Jones (69),069,Blake-Jones (69),-79.3394128118645,43.6799889815579,-8832023.03406916,5416052.55959353
20215,GO-20199025611,8/5/2019 4:00:00 AM,2019,August,Monday,5,217,14,8/10/2019 4:00:00 AM,2019,August,Saturday,10,222,9,D14,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,CC,,MT,21,BLK,350,STOLEN,THEFT UNDER,085,South Parkdale (85),085,South Parkdale (85),-79.4288414237182,43.6386520835864,-8841978.18161935,5409691.98855568
20216,GO-20191519273,8/5/2019 4:00:00 AM,2019,August,Monday,5,217,12,8/11/2019 4:00:00 AM,2019,August,Sunday,11,223,10,D33,"Apartment (Rooming House, Condo)",Apartment,OTHER,BMX,MT,1,SIL,200,STOLEN,THEFT UNDER - BICYCLE,047,Don Valley Village (47),047,Don Valley Village (47),-79.3538706406414,43.7793609116532,-8833632.47223142,5431361.02261024
20217,GO-20191520550,8/11/2019 4:00:00 AM,2019,August,Sunday,11,223,14,8/11/2019 4:00:00 AM,2019,August,Sunday,11,223,14,D13,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,ROCKY MOUNTAIN,,MT,12,REDWHI,,STOLEN,THEFT UNDER - BICYCLE,094,Wychwood (94),094,Wychwood (94),-79.418901134336,43.6821842198713,-8840871.63359821,5416390.46668603
20218,GO-20199025673,7/27/2019 4:00:00 AM,2019,July,Saturday,27,208,15,8/11/2019 4:00:00 AM,2019,August,Sunday,11,223,13,D52,"Apartment (Rooming House, Condo)",Apartment,GI,TSX SLR 2,RC,14,,3600,STOLEN,THEFT UNDER,166,St Lawrence-East Bayfront-The Islands (166),077,Waterfront Communities-The Island (77),-79.3791981444218,43.6425232816269,-8836451.91696844,5410287.46985679
20219,GO-20199025673,7/27/2019 4:00:00 AM,2019,July,Saturday,27,208,15,8/11/2019 4:00:00 AM,2019,August,Sunday,11,223,13,D52,"Apartment (Rooming House, Condo)",Apartment,GI,CYCLOCROSS,RC,14,RED,2500,STOLEN,THEFT UNDER,166,St Lawrence-East Bayfront-The Islands (166),077,Waterfront Communities-The Island (77),-79.3791981444218,43.6425232816269,-8836451.91696844,5410287.46985679
20220,GO-20199025763,8/10/2019 4:00:00 AM,2019,August,Saturday,10,222,12,8/11/2019 4:00:00 AM,2019,August,Sunday,11,223,18,D14,Go Station,Transit,KO,PADDY WAGON,RG,1,BLK,0,STOLEN,THEFT UNDER - BICYCLE,163,Fort York-Liberty Village (163),082,Niagara (82),-79.4186468271164,43.6353491773902,-8840843.32427247,5409183.95410677
20221,GO-20199025766,8/11/2019 4:00:00 AM,2019,August,Sunday,11,223,16,8/11/2019 4:00:00 AM,2019,August,Sunday,11,223,18,D51,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,GT,,RC,10,BLK,1800,STOLEN,THEFT UNDER,168,Downtown Yonge East (168),075,Church-Yonge Corridor (75),-79.3792617461906,43.6524358915396,-8836458.99711069,5411812.43735887
20222,GO-20199025739,8/10/2019 4:00:00 AM,2019,August,Saturday,10,222,13,8/11/2019 4:00:00 AM,2019,August,Sunday,11,223,13,D52,"Apartment (Rooming House, Condo)",Apartment,GI,ROAM 2 DISC LAR,RG,30,GRY,900,STOLEN,B&E,164,Wellington Place (164),077,Waterfront Communities-The Island (77),-79.3915591381257,43.6475785866822,-8837827.93652622,5411065.15243846
20223,GO-20199025745,8/10/2019 4:00:00 AM,2019,August,Saturday,10,222,19,8/11/2019 4:00:00 AM,2019,August,Sunday,11,223,15,D52,Universities / Colleges,Educational,UK,SKETCH,MT,24,CPR,500,STOLEN,THEFT UNDER,079,University (79),079,University (79),-79.3976088399513,43.6620788031634,-8838501.38627231,5413296.15559509
20224,GO-20199025746,8/11/2019 4:00:00 AM,2019,August,Sunday,11,223,5,8/11/2019 4:00:00 AM,2019,August,Sunday,11,223,14,D53,"Private Property Structure (Pool, Shed, Detached Garage)",Other,NA,PHENOM,MT,18,GRY,200,STOLEN,THEFT UNDER - BICYCLE,098,Rosedale-Moore Park (98),098,Rosedale-Moore Park (98),-79.3709690673697,43.6770060257984,-8835535.8603071,5415593.42099711
20225,GO-20199025744,8/9/2019 4:00:00 AM,2019,August,Friday,9,221,17,8/11/2019 4:00:00 AM,2019,August,Sunday,11,223,13,D52,"Apartment (Rooming House, Condo)",Apartment,UK,CATALYST,RG,9,BLK,1500,STOLEN,THEFT UNDER,165,Harbourfront-CityPlace (165),077,Waterfront Communities-The Island (77),-79.3801034438183,43.6400745786467,-8836552.69450346,5409910.79728408
20226,GO-20199025738,8/11/2019 4:00:00 AM,2019,August,Sunday,11,223,5,8/11/2019 4:00:00 AM,2019,August,Sunday,11,223,13,D22,"Apartment (Rooming House, Condo)",Apartment,SU,,MT,7,,150,STOLEN,THEFT UNDER,161,Humber Bay Shores (161),017,Mimico (includes Humber Bay Shores) (17),-79.4900182286664,43.6111503268518,-8848788.35240031,5405462.67545283
20227,GO-20199025733,3/25/2019 4:00:00 AM,2019,March,Monday,25,84,11,8/11/2019 4:00:00 AM,2019,August,Sunday,11,223,12,D51,"Apartment (Rooming House, Condo)",Apartment,UK,,RC,1,BLU,2000,STOLEN,THEFT UNDER,167,Church-Wellesley (167),075,Church-Yonge Corridor (75),-79.3804934494389,43.6646441037478,-8836596.10966147,5413690.90888573
20228,GO-20199025746,8/11/2019 4:00:00 AM,2019,August,Sunday,11,223,5,8/11/2019 4:00:00 AM,2019,August,Sunday,11,223,14,D53,"Private Property Structure (Pool, Shed, Detached Garage)",Other,OT,,RG,18,WHI,400,STOLEN,THEFT UNDER - BICYCLE,098,Rosedale-Moore Park (98),098,Rosedale-Moore Park (98),-79.3709690673697,43.6770060257984,-8835535.8603071,5415593.42099711
20229,GO-20199025746,8/11/2019 4:00:00 AM,2019,August,Sunday,11,223,5,8/11/2019 4:00:00 AM,2019,August,Sunday,11,223,14,D53,"Private Property Structure (Pool, Shed, Detached Garage)",Other,GI,,RG,18,YEL,1000,STOLEN,THEFT UNDER - BICYCLE,098,Rosedale-Moore Park (98),098,Rosedale-Moore Park (98),-79.3709690673697,43.6770060257984,-8835535.8603071,5415593.42099711
20230,GO-20199025717,8/8/2019 4:00:00 AM,2019,August,Thursday,8,220,21,8/11/2019 4:00:00 AM,2019,August,Sunday,11,223,10,D11,"Apartment (Rooming House, Condo)",Apartment,RA,ALYSA,RG,21,BLK,500,STOLEN,THEFT UNDER,090,Junction Area (90),090,Junction Area (90),-79.4650425271394,43.6665788583881,-8846008.06997147,5413988.64359005
20231,GO-20199025736,8/11/2019 4:00:00 AM,2019,August,Sunday,11,223,12,8/11/2019 4:00:00 AM,2019,August,Sunday,11,223,13,D11,"Apartment (Rooming House, Condo)",Apartment,UK,,MT,18,GRY,200,STOLEN,THEFT UNDER,088,High Park North (88),088,High Park North (88),-79.4652710158585,43.6535528246841,-8846033.5052506,5411984.28341389
20232,GO-20199025733,3/25/2019 4:00:00 AM,2019,March,Monday,25,84,11,8/11/2019 4:00:00 AM,2019,August,Sunday,11,223,12,D51,"Apartment (Rooming House, Condo)",Apartment,OT,,RG,5,BLK,500,STOLEN,THEFT UNDER,167,Church-Wellesley (167),075,Church-Yonge Corridor (75),-79.3804934494389,43.6646441037478,-8836596.10966147,5413690.90888573
20233,GO-20199025719,8/11/2019 4:00:00 AM,2019,August,Sunday,11,223,1,8/11/2019 4:00:00 AM,2019,August,Sunday,11,223,10,D52,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,UK,,EL,25,DBL,2000,STOLEN,THEFT UNDER,169,Bay-Cloverhill (169),076,Bay Street Corridor (76),-79.386365245813,43.6624776015813,-8837249.75511355,5413357.52241987
20234,GO-20199025909,8/10/2019 4:00:00 AM,2019,August,Saturday,10,222,19,8/12/2019 4:00:00 AM,2019,August,Monday,12,224,15,D52,Bar / Restaurant,Commercial,SC,,OT,1,RED,1000,STOLEN,THEFT UNDER,169,Bay-Cloverhill (169),076,Bay Street Corridor (76),-79.383092246615,43.6613701004739,-8836885.4065315,5413187.10203257
20235,GO-20199025947,8/12/2019 4:00:00 AM,2019,August,Monday,12,224,8,8/12/2019 4:00:00 AM,2019,August,Monday,12,224,18,D22,Go Station,Transit,OT,DEVINCI ST. TRO,RG,24,BLU,650,STOLEN,THEFT UNDER,160,Mimico-Queensway (160),017,Mimico (includes Humber Bay Shores) (17),-79.4983879275447,43.6162187957559,-8849720.06303108,5406241.97632442
20236,GO-20199025789,8/2/2019 4:00:00 AM,2019,August,Friday,2,214,14,8/12/2019 4:00:00 AM,2019,August,Monday,12,224,0,D51,Schools During Un-Supervised Activity,Educational,SU,,MT,20,GRY,220,STOLEN,THEFT UNDER,167,Church-Wellesley (167),075,Church-Yonge Corridor (75),-79.3841370470296,43.6638992030029,-8837001.71313548,5413576.28039602
20237,GO-20191527344,7/19/2019 4:00:00 AM,2019,July,Friday,19,200,0,8/12/2019 4:00:00 AM,2019,August,Monday,12,224,13,D51,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,OTHER,,EL,1,,2000,STOLEN,THEFT OF EBIKE UNDER $5000,071,Cabbagetown-South St.James Town (71),071,Cabbagetown-South St.James Town (71),-79.3660300583514,43.6621629012666,-8834986.0523402,5413309.09648437
20238,GO-20191529506,8/4/2019 4:00:00 AM,2019,August,Sunday,4,216,12,8/12/2019 4:00:00 AM,2019,August,Monday,12,224,18,D11,"Apartment (Rooming House, Condo)",Apartment,SCOTT,CLIMBER,MT,18,BLK,2000,STOLEN,B&E W'INTENT,087,High Park-Swansea (87),087,High Park-Swansea (87),-79.4710689139583,43.6370687086722,-8846678.92430363,5409448.43929581
20239,GO-20199025842,8/3/2019 4:00:00 AM,2019,August,Saturday,3,215,1,8/12/2019 4:00:00 AM,2019,August,Monday,12,224,11,D52,"Apartment (Rooming House, Condo)",Apartment,UK,STUMP JUMPER CO,MT,12,BLK,2200,STOLEN,B&E,166,St Lawrence-East Bayfront-The Islands (166),077,Waterfront Communities-The Island (77),-79.3779175452756,43.6431728822766,-8836309.36133985,5410387.3973746
20240,GO-20199025853,8/11/2019 4:00:00 AM,2019,August,Sunday,11,223,23,8/12/2019 4:00:00 AM,2019,August,Monday,12,224,12,D55,"Single Home, House (Attach Garage, Cottage, Mobile)",House,GI,RAPID 2,RG,12,OTH,1200,STOLEN,THEFT UNDER,068,North Riverdale (68),068,North Riverdale (68),-79.347337180784,43.6674104231258,-8832905.1707911,5414116.61410431
20241,GO-20199025944,8/11/2019 4:00:00 AM,2019,August,Sunday,11,223,18,8/12/2019 4:00:00 AM,2019,August,Monday,12,224,18,D55,Go Station,Transit,GI,ESCAPE 2018,RG,27,,500,STOLEN,THEFT UNDER,062,East End-Danforth (62),062,East End-Danforth (62),-79.3018218513847,43.6881394240177,-8827838.42743221,5417307.19752363
20242,GO-20191529506,8/4/2019 4:00:00 AM,2019,August,Sunday,4,216,12,8/12/2019 4:00:00 AM,2019,August,Monday,12,224,18,D11,"Apartment (Rooming House, Condo)",Apartment,MIELE,,RG,12,RED,450,STOLEN,B&E W'INTENT,087,High Park-Swansea (87),087,High Park-Swansea (87),-79.4710689139583,43.6370687086722,-8846678.92430363,5409448.43929581
20243,GO-20199025970,8/12/2019 4:00:00 AM,2019,August,Monday,12,224,8,8/12/2019 4:00:00 AM,2019,August,Monday,12,224,22,D55,"Private Property Structure (Pool, Shed, Detached Garage)",Other,UK,PRIORITY CLASSI,RG,3,BLU,375,STOLEN,THEFT UNDER,060,Woodbine-Lumsden (60),060,Woodbine-Lumsden (60),-79.3054171507854,43.6935320147509,-8828238.65439746,5418137.39949733
20244,GO-20199025940,8/5/2019 4:00:00 AM,2019,August,Monday,5,217,19,8/12/2019 4:00:00 AM,2019,August,Monday,12,224,18,D14,"Commercial Dwelling Unit (Hotel, Motel, B & B, Short Term Rental)",Commercial,OT,C:1 CITY,RG,10,BLK,799,STOLEN,THEFT UNDER - BICYCLE,078,Kensington-Chinatown (78),078,Kensington-Chinatown (78),-79.4040332343834,43.6571898988743,-8839216.54654104,5412543.88865325
20245,GO-20199025929,8/12/2019 4:00:00 AM,2019,August,Monday,12,224,11,8/12/2019 4:00:00 AM,2019,August,Monday,12,224,17,D14,Go Station,Transit,BL,,MT,10,RED,400,STOLEN,THEFT UNDER - BICYCLE,163,Fort York-Liberty Village (163),082,Niagara (82),-79.4186468271164,43.6353491773902,-8840843.32427247,5409183.95410677
20246,GO-20199025896,8/10/2019 4:00:00 AM,2019,August,Saturday,10,222,13,8/12/2019 4:00:00 AM,2019,August,Monday,12,224,15,D11,"Private Property Structure (Pool, Shed, Detached Garage)",Other,OT,725,RG,1,BLK,900,STOLEN,THEFT UNDER,086,Roncesvalles (86),086,Roncesvalles (86),-79.4438710187084,43.6473426982925,-8843651.26848158,5411028.86301071
20247,GO-20199025892,8/10/2019 4:00:00 AM,2019,August,Saturday,10,222,11,8/12/2019 4:00:00 AM,2019,August,Monday,12,224,15,D52,"Open Areas (Lakes, Parks, Rivers)",Outside,UK,,MT,15,BLK,600,STOLEN,THEFT UNDER,166,St Lawrence-East Bayfront-The Islands (166),077,Waterfront Communities-The Island (77),-79.3799866438962,43.6399724785106,-8836539.69238694,5409895.09205022
20248,GO-20191526325,8/10/2019 4:00:00 AM,2019,August,Saturday,10,222,20,8/12/2019 4:00:00 AM,2019,August,Monday,12,224,11,D55,"Private Property Structure (Pool, Shed, Detached Garage)",Other,GIANT,ROAM BIKE,RG,0,BLK,1000,STOLEN,THEFT UNDER - BICYCLE,062,East End-Danforth (62),062,East End-Danforth (62),-79.2938298561136,43.6863424288204,-8826948.76261839,5417030.56252871
20249,GO-20199025935,8/12/2019 4:00:00 AM,2019,August,Monday,12,224,6,8/12/2019 4:00:00 AM,2019,August,Monday,12,224,17,D55,"Apartment (Rooming House, Condo)",Apartment,OT,,TO,10,BLK,0,STOLEN,THEFT UNDER,070,South Riverdale (70),070,South Riverdale (70),-79.3403340877321,43.6651520316829,-8832125.59004436,5413769.07179204
20250,GO-20199025888,8/9/2019 4:00:00 AM,2019,August,Friday,9,221,14,8/12/2019 4:00:00 AM,2019,August,Monday,12,224,14,D51,"Other Non Commercial / Corporate Places (Non-Profit, Gov'T, Firehall)",Other,TR,LEXA,RG,9,BLK,1000,STOLEN,THEFT UNDER - BICYCLE,167,Church-Wellesley (167),075,Church-Yonge Corridor (75),-79.3858379481384,43.6679975072343,-8837191.05656869,5414206.96221807
20251,GO-20199025875,8/12/2019 4:00:00 AM,2019,August,Monday,12,224,19,8/12/2019 4:00:00 AM,2019,August,Monday,12,224,23,D14,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,TR,FRONT WHEEL,RG,24,BLK,200,STOLEN,THEFT UNDER - BICYCLE,164,Wellington Place (164),077,Waterfront Communities-The Island (77),-79.40306583231,43.6448685849943,-8839108.85584302,5410648.25128371
20252,GO-20199025978,8/12/2019 4:00:00 AM,2019,August,Monday,12,224,19,8/12/2019 4:00:00 AM,2019,August,Monday,12,224,22,D14,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,TR,FX2,RG,24,GRY,650,STOLEN,THEFT UNDER - BICYCLE,164,Wellington Place (164),077,Waterfront Communities-The Island (77),-79.402682032438,43.6439187839166,-8839066.13142245,5410502.14029502
20253,GO-20191529369,8/8/2019 4:00:00 AM,2019,August,Thursday,8,220,18,8/12/2019 4:00:00 AM,2019,August,Monday,12,224,18,D11,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,KHS,,MT,7,GRNBLU,130,STOLEN,THEFT UNDER,089,Runnymede-Bloor West Village (89),089,Runnymede-Bloor West Village (89),-79.4895950127432,43.6656545531899,-8848741.2402107,5413846.40328868
20254,GO-20191525005,7/11/2019 4:00:00 AM,2019,July,Thursday,11,192,0,8/12/2019 4:00:00 AM,2019,August,Monday,12,224,7,D51,"Open Areas (Lakes, Parks, Rivers)",Outside,HUFFY,CRUISER,RG,1,BLK,200,STOLEN,THEFT UNDER,072,Regent Park (72),072,Regent Park (72),-79.362735059712,43.6594305985343,-8834619.25484068,5412888.66273017
20255,GO-20199051786,8/12/2019 4:00:00 AM,2019,August,Monday,12,224,8,8/12/2019 4:00:00 AM,2019,August,Monday,12,224,8,D32,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,OT,CRUX FORCECYCLO,RC,12,BLK,4000,STOLEN,THEFT UNDER - BICYCLE,105,Lawrence Park North (105),105,Lawrence Park North (105),-79.4028199381052,43.7274499750929,-8839081.48304814,5423360.86097278
20256,GO-20199025883,8/12/2019 4:00:00 AM,2019,August,Monday,12,224,12,8/12/2019 4:00:00 AM,2019,August,Monday,12,224,14,D51,Bar / Restaurant,Commercial,FJ,,RC,1,BLK,500,STOLEN,THEFT UNDER,168,Downtown Yonge East (168),075,Church-Yonge Corridor (75),-79.3809129463861,43.6563247954285,-8836642.80785389,5412410.7794823
20257,GO-20199026028,8/8/2019 4:00:00 AM,2019,August,Thursday,8,220,18,8/13/2019 4:00:00 AM,2019,August,Tuesday,13,225,13,D11,"Open Areas (Lakes, Parks, Rivers)",Outside,OT,,TO,10,BRN,500,STOLEN,THEFT UNDER,088,High Park North (88),088,High Park North (88),-79.4599811145098,43.6547192158143,-8845444.63616493,5412163.7422556
20258,GO-20199026103,8/13/2019 4:00:00 AM,2019,August,Tuesday,13,225,17,8/13/2019 4:00:00 AM,2019,August,Tuesday,13,225,20,D11,"Single Home, House (Attach Garage, Cottage, Mobile)",House,TR,PRECALIBER 24 2,MT,21,LGR,440,STOLEN,THEFT UNDER,088,High Park North (88),088,High Park North (88),-79.4590927149666,43.6587749207202,-8845345.73992931,5412787.77293636
20259,GO-20191536021,8/9/2019 4:00:00 AM,2019,August,Friday,9,221,10,8/13/2019 4:00:00 AM,2019,August,Tuesday,13,225,16,D12,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,UNKNOWN,UNKNOW,RG,7,BLKRED,200,STOLEN,THEFT UNDER,030,Brookhaven-Amesbury (30),030,Brookhaven-Amesbury (30),-79.5028788512612,43.6995486594179,-8850219.99029263,5419063.76400351
20260,GO-20199026047,8/13/2019 4:00:00 AM,2019,August,Tuesday,13,225,11,8/13/2019 4:00:00 AM,2019,August,Tuesday,13,225,15,D53,"Bank And Other Financial Institutions (Money Mart, Tsx)",Commercial,GI,GIANT,MT,5,WHI,2000,STOLEN,THEFT UNDER - BICYCLE,056,Leaside-Bennington (56),056,Leaside-Bennington (56),-79.3740649871687,43.7063033532976,-8835880.49654504,5420103.87460949
20261,GO-20199026102,8/12/2019 4:00:00 AM,2019,August,Monday,12,224,17,8/13/2019 4:00:00 AM,2019,August,Tuesday,13,225,19,D51,"Apartment (Rooming House, Condo)",Apartment,SU,SUPERCYCLE NITR,MT,21,ONG,139.990005493164,STOLEN,THEFT UNDER,071,Cabbagetown-South St.James Town (71),071,Cabbagetown-South St.James Town (71),-79.3743374529688,43.6629221020259,-8835910.82732142,5413425.92215304
20262,GO-20191536386,8/13/2019 4:00:00 AM,2019,August,Tuesday,13,225,10,8/13/2019 4:00:00 AM,2019,August,Tuesday,13,225,17,D14,"Apartment (Rooming House, Condo)",Apartment,BRODIE,DYNAMO,OT,27,WHIBLK,1500,STOLEN,B&E,078,Kensington-Chinatown (78),078,Kensington-Chinatown (78),-79.4000766333063,43.649144688274,-8838776.09973245,5411306.08678298
20263,GO-20199026019,8/12/2019 4:00:00 AM,2019,August,Monday,12,224,23,8/13/2019 4:00:00 AM,2019,August,Tuesday,13,225,12,D11,"Single Home, House (Attach Garage, Cottage, Mobile)",House,OT,MIXTE 3I,TO,3,LBL,600,STOLEN,THEFT UNDER,086,Roncesvalles (86),086,Roncesvalles (86),-79.4350103216619,43.6433248913211,-8842664.90020347,5410410.78096974
20264,GO-20199026053,8/13/2019 4:00:00 AM,2019,August,Tuesday,13,225,8,8/13/2019 4:00:00 AM,2019,August,Tuesday,13,225,15,D53,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,OT,,RG,21,BLK,550,STOLEN,THEFT UNDER - BICYCLE,056,Leaside-Bennington (56),056,Leaside-Bennington (56),-79.3688807840777,43.6842090594606,-8835303.39370691,5416702.15568002
20265,GO-20199026103,8/13/2019 4:00:00 AM,2019,August,Tuesday,13,225,17,8/13/2019 4:00:00 AM,2019,August,Tuesday,13,225,20,D11,"Single Home, House (Attach Garage, Cottage, Mobile)",House,OT,,RG,18,OTH,250,STOLEN,THEFT UNDER,088,High Park North (88),088,High Park North (88),-79.4590927149666,43.6587749207202,-8845345.73992931,5412787.77293636
20266,GO-20199025994,8/10/2019 4:00:00 AM,2019,August,Saturday,10,222,18,8/13/2019 4:00:00 AM,2019,August,Tuesday,13,225,10,D14,"Apartment (Rooming House, Condo)",Apartment,TR,2014 7.3 FX,RG,27,BLK,660,STOLEN,THEFT UNDER - BICYCLE,165,Harbourfront-CityPlace (165),077,Waterfront Communities-The Island (77),-79.3988660337099,43.6381255772293,-8838641.33646822,5409611.0023598
20267,GO-20199026103,8/13/2019 4:00:00 AM,2019,August,Tuesday,13,225,17,8/13/2019 4:00:00 AM,2019,August,Tuesday,13,225,20,D11,"Single Home, House (Attach Garage, Cottage, Mobile)",House,OT,NEON ATB,MT,6,BLK,360,STOLEN,THEFT UNDER,088,High Park North (88),088,High Park North (88),-79.4590927149666,43.6587749207202,-8845345.73992931,5412787.77293636
20268,GO-20191531926,8/10/2019 4:00:00 AM,2019,August,Saturday,10,222,11,8/13/2019 4:00:00 AM,2019,August,Tuesday,13,225,8,D11,"Apartment (Rooming House, Condo)",Apartment,SPECIALIZED,,RC,18,SILGRN,1849,STOLEN,B&E,086,Roncesvalles (86),086,Roncesvalles (86),-79.4491622169447,43.6526172062023,-8844240.28194863,5411840.33326034
20269,GO-20199026029,6/25/2019 4:00:00 AM,2019,June,Tuesday,25,176,18,8/13/2019 4:00:00 AM,2019,August,Tuesday,13,225,13,D42,"Apartment (Rooming House, Condo)",Apartment,MI,SUPERCYLCE 1800,MT,6,BLK,600,STOLEN,THEFT UNDER,146,Malvern East (146),132,Malvern (132),-79.2216368779307,43.8092036115508,-8818912.27706858,5435963.32164942
20270,GO-20199026099,8/2/2019 4:00:00 AM,2019,August,Friday,2,214,0,8/13/2019 4:00:00 AM,2019,August,Tuesday,13,225,19,D14,"Apartment (Rooming House, Condo)",Apartment,OT,,RG,32,WHI,600,STOLEN,THEFT UNDER - BICYCLE,084,Little Portugal (84),084,Little Portugal (84),-79.4247786250725,43.6429952875927,-8841525.91290348,5410360.07810534
20271,GO-20199026036,7/20/2019 4:00:00 AM,2019,July,Saturday,20,201,12,8/13/2019 4:00:00 AM,2019,August,Tuesday,13,225,14,D53,"Apartment (Rooming House, Condo)",Apartment,TR,,RG,21,GRY,0,STOLEN,THEFT UNDER - BICYCLE,098,Rosedale-Moore Park (98),098,Rosedale-Moore Park (98),-79.389869569075,43.6889906509479,-8837639.85456548,5417438.24094618
20272,GO-20199026128,8/13/2019 4:00:00 AM,2019,August,Tuesday,13,225,20,8/13/2019 4:00:00 AM,2019,August,Tuesday,13,225,23,D11,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,OT,,MT,21,YEL,0,STOLEN,THEFT UNDER,086,Roncesvalles (86),086,Roncesvalles (86),-79.4470037176642,43.6410702928648,-8843999.99893907,5410063.96147705
20273,GO-20199026104,8/11/2019 4:00:00 AM,2019,August,Sunday,11,223,22,8/13/2019 4:00:00 AM,2019,August,Tuesday,13,225,20,D52,"Apartment (Rooming House, Condo)",Apartment,OT,PANAMAO X5,OT,27,BLK,1300,STOLEN,THEFT UNDER,166,St Lawrence-East Bayfront-The Islands (166),077,Waterfront Communities-The Island (77),-79.3791981444218,43.6425232816269,-8836451.91696844,5410287.46985679
20274,GO-20191532394,8/12/2019 4:00:00 AM,2019,August,Monday,12,224,21,8/13/2019 4:00:00 AM,2019,August,Tuesday,13,225,7,D41,"Single Home, House (Attach Garage, Cottage, Mobile)",House,UNKNOWN MAKE,DAYMAK,SC,0,RED,,UNKNOWN,PROPERTY - FOUND,121,Oakridge (121),121,Oakridge (121),-79.2744400738914,43.6962828249941,-8824790.30195956,5418560.92187197
20275,GO-20199026146,8/7/2019 4:00:00 AM,2019,August,Wednesday,7,219,20,8/14/2019 4:00:00 AM,2019,August,Wednesday,14,226,13,D52,"Apartment (Rooming House, Condo)",Apartment,OT,TEAM MACHINE SL,RC,11,,1900,STOLEN,THEFT UNDER,166,St Lawrence-East Bayfront-The Islands (166),077,Waterfront Communities-The Island (77),-79.3791981444218,43.6425232816269,-8836451.91696844,5410287.46985679
